"scenario id","scen name","pub name","first side result","second side name","second side result","url link"
18,"The Roadblock",Paratrooper,American,36,German,27,https://vasl-templates.org/services/roar/18
19,"Backs to the Sea",Yanks,American,59,German,84,https://vasl-templates.org/services/roar/19
20,"Taking the Left Tit",Yanks,German,36,American,56,https://vasl-templates.org/services/roar/20
21,"Among the Ruins",Yanks,German,93,American,97,https://vasl-templates.org/services/roar/21
22,"Kurhaus Clash",Yanks,American,39,German,79,https://vasl-templates.org/services/roar/22
23,"Under the Noel Trees",Yanks,American,198,German,205,https://vasl-templates.org/services/roar/23
24,"The Mad Minute",Yanks,American,27,German,90,https://vasl-templates.org/services/roar/24
25,"Gavin's Gamble",Yanks,American,22,German,24,https://vasl-templates.org/services/roar/25
26,"Tanks in the Street",Yanks,German,35,American,17,https://vasl-templates.org/services/roar/26
178,"The Niscemi-Biacari Highway","Yanks II (3a)",American,3,German,4,https://vasl-templates.org/services/roar/5331
179,"Ranger Stronghold","Yanks II (3a)",American,4,German,15,https://vasl-templates.org/services/roar/5332
180,"The T-Patchers","Yanks II (3a)",American,16,German,5,https://vasl-templates.org/services/roar/5333
181,"Gavin Take","Yanks II (3a)",German,5,American,7,https://vasl-templates.org/services/roar/5334
182,"Strayer's Strays","Yanks II (3a)",American,16,German,11,https://vasl-templates.org/services/roar/5335
183,"The Pouppeville Exit","Yanks II (3a)",American,7,German,4,https://vasl-templates.org/services/roar/5336
184,"Death at Carentan","Yanks II (3a)",American,5,German,4,https://vasl-templates.org/services/roar/5337
185,"Not Out of the Woods Yet","Yanks II (3a)",American,2,German,1,https://vasl-templates.org/services/roar/5338
186,"L'Abbaye Blanche","Yanks II (3a)",German,2,American,7,https://vasl-templates.org/services/roar/5339
187,"Morgan's Stand","Yanks II (3a)",American,10,German,11,https://vasl-templates.org/services/roar/5340
188,"Zon with the Wind","Yanks II (3a)",American,14,German,14,https://vasl-templates.org/services/roar/5341
189,"Devil's Hill","Yanks II (3a)",American,0,German,8,https://vasl-templates.org/services/roar/5342
190,"Scouts Out","Yanks II (3a)",American,1,German,7,https://vasl-templates.org/services/roar/5343
191,"Buchholz Station","Yanks II (3a)",American,4,German,4,https://vasl-templates.org/services/roar/5344
192,Shoot-N-Scoot,"Yanks II (3a)",German,1,American,1,https://vasl-templates.org/services/roar/5346
193,"Abandon Ship!","Yanks II (3a)",American,8,German,9,https://vasl-templates.org/services/roar/5347
194,"The Attempt to Relieve Peiper","Yanks II (3a)",American,3,German,1,https://vasl-templates.org/services/roar/5348
195,"Rocket's Red Glare","Yanks II (3a)",German,20,American,12,https://vasl-templates.org/services/roar/5349
196,"Patton's Prayers","Yanks II (3a)",American,2,German,1,https://vasl-templates.org/services/roar/5350
197,"Parker's Crossroads","Yanks II (3a)",American,1,German,0,https://vasl-templates.org/services/roar/5351
198,"A Breezeless Day","Yanks II (3a)",German,2,American,3,https://vasl-templates.org/services/roar/5352
199,"Ace in the Hole","Yanks II (3a)",German,4,American,2,https://vasl-templates.org/services/roar/5353
200,"Broich Bash","Yanks II (3a)",German,14,American,9,https://vasl-templates.org/services/roar/5354
201,"Hunters from the Sky","Yanks II (3a)",German,1,American,2,https://vasl-templates.org/services/roar/5355
202,"Hitdorf on the Rhine","Yanks II (3a)",American,3,German,2,https://vasl-templates.org/services/roar/5356
"{Y2} 11","Defiance on Hill 30","Yanks II (3a)",American,14,German,7,https://vasl-templates.org/services/roar/5312
"{Y2} 12","Confusion Reigns","Yanks II (3a)",American,8,German,6,https://vasl-templates.org/services/roar/5313
"{Y2} 13","Le Manoir","Yanks II (3a)",American,7,German,4,https://vasl-templates.org/services/roar/5314
"{Y2} 14","Silence That Gun","Yanks II (3a)",American,6,German,10,https://vasl-templates.org/services/roar/5315
"{Y2} 15",Trapped!,"Yanks II (3a)",American,3,German,4,https://vasl-templates.org/services/roar/5316
"{Y2} 16","No Better Spot to Die","Yanks II (3a)",American,3,German,6,https://vasl-templates.org/services/roar/5317
"{Y2} 17","Lost Opportunities","Yanks II (3a)",German,12,American,11,https://vasl-templates.org/services/roar/5320
"{Y2} 18","The Roadblock","Yanks II (3a)",American,2,German,1,https://vasl-templates.org/services/roar/5321
"{Y2} 19","Backs to the Sea","Yanks II (3a)",American,5,German,3,https://vasl-templates.org/services/roar/5322
"{Y2} 20","Taking the Left Tit","Yanks II (3a)",American,3,German,3,https://vasl-templates.org/services/roar/5323
"{Y2} 21","Among the Ruins","Yanks II (3a)",German,4,American,4,https://vasl-templates.org/services/roar/5324
"{Y2} 22","Kurhaus Clash","Yanks II (3a)",American,0,German,4,https://vasl-templates.org/services/roar/5325
"{Y2} 23","Under the Noel Trees","Yanks II (3a)",American,10,German,5,https://vasl-templates.org/services/roar/5326
"{Y2} 24","The Mad Minute","Yanks II (3a)",American,4,German,3,https://vasl-templates.org/services/roar/5328
"{Y2} 25","Gavin's Gamble","Yanks II (3a)",American/British,4,German,1,https://vasl-templates.org/services/roar/5329
"{Y2} 26","Tanks in the Street","Yanks II (3a)",German,4,American,1,https://vasl-templates.org/services/roar/5330
27,"The Liberation of Tulle",Partisan!,Partisan,80,German,47,https://vasl-templates.org/services/roar/27
28,Ambush!,Partisan!,Bulgarian,86,Partisan,81,https://vasl-templates.org/services/roar/28
29,"The Globus Raid",Partisan!,German,46,Partisan,16,https://vasl-templates.org/services/roar/29
30,"Sylvan Death",Partisan!,Partisan,27,German,60,https://vasl-templates.org/services/roar/30
31,"The Old Town",Partisan!,German,45,Partisan,39,https://vasl-templates.org/services/roar/31
32,"Subterranean Quarry",Partisan!,Romanian,49,Partisan,19,https://vasl-templates.org/services/roar/32
33,"The Cossacks Are Coming",Partisan!,Partisan,17,Croat/German,40,https://vasl-templates.org/services/roar/33
34,"A New Kind of Foe",Partisan!,Partisan/Russian,19,German,29,https://vasl-templates.org/services/roar/34
35,"Blazin' Chariots","West of Alemein",German,98,British,85,https://vasl-templates.org/services/roar/35
36,"Rachi Ridge","West of Alemein",British,23,German,42,https://vasl-templates.org/services/roar/36
37,Khamsin,"West of Alemein",German,70,British,71,https://vasl-templates.org/services/roar/37
38,"Escape from Derna","West of Alemein",British,4,German,23,https://vasl-templates.org/services/roar/38
39,"Turning the Tables","West of Alemein",German,25,British,28,https://vasl-templates.org/services/roar/39
40,"Fort McGregor","West of Alemein",German,28,British,16,https://vasl-templates.org/services/roar/40
41,"A Bridgehead Too Wet","West of Alemein",British,27,German,32,https://vasl-templates.org/services/roar/41
42,"Point of No Return","West of Alemein",British,24,German,33,https://vasl-templates.org/services/roar/42
43,"Into the Fray","The Last Hurrah",Polish,73,German,61,https://vasl-templates.org/services/roar/43
44,"The Gauntlet","The Last Hurrah",Norwegian,43,German,15,https://vasl-templates.org/services/roar/44
45,"Revenge at Kastelli","The Last Hurrah",Greek,44,German,33,https://vasl-templates.org/services/roar/45
46,"Birds of Prey","The Last Hurrah",German,40,Belgian,26,https://vasl-templates.org/services/roar/46
47,"Rude Awakening","The Last Hurrah",Yugoslav,16,German,7,https://vasl-templates.org/services/roar/47
48,"Toujours l'audace (Always Audacity)","The Last Hurrah",German,70,Belgian,41,https://vasl-templates.org/services/roar/48
49,"Piercing the Peel","The Last Hurrah",German,49,Dutch,16,https://vasl-templates.org/services/roar/49
50,"Age-Old Foes","The Last Hurrah",Russian,37,Polish,18,https://vasl-templates.org/services/roar/50
51,"The Taking of Takrouna","Hollow Legions",Italian,78,British,58,https://vasl-templates.org/services/roar/51
52,"Too Little, Too Late","Hollow Legions",German,13,Italian,5,https://vasl-templates.org/services/roar/52
53,"A High Price to Pay","Hollow Legions",British,47,Italian,57,https://vasl-templates.org/services/roar/53
54,"Bridge to Nowhere","Hollow Legions",Italian,103,Russian,74,https://vasl-templates.org/services/roar/54
55,Retribution,"Hollow Legions",American,80,Italian,67,https://vasl-templates.org/services/roar/55
56,"Half a Chance","Hollow Legions",British,8,Italian,36,https://vasl-templates.org/services/roar/56
57,"The Battle for Rome","Hollow Legions",German,26,Italian,34,https://vasl-templates.org/services/roar/57
58,"Ci Arrendiamo","Hollow Legions",British,25,Italian,20,https://vasl-templates.org/services/roar/58
59,Smertniki,"Code of Bushido",Japanese,30,Russian,23,https://vasl-templates.org/services/roar/59
60,"On the Kokoda Trail","Code of Bushido",Japanese,72,Australian,41,https://vasl-templates.org/services/roar/60
61,"Shoestring Ridge","Code of Bushido",Japanese,25,American,30,https://vasl-templates.org/services/roar/61
62,"Bungle in the Jungle","Code of Bushido",Japanese,40,British,19,https://vasl-templates.org/services/roar/62
63,"The Eastern Gate","Code of Bushido",British,30,Japanese,42,https://vasl-templates.org/services/roar/63
64,"Hazardous Occupation","Code of Bushido",Japanese,25,Partisan,16,https://vasl-templates.org/services/roar/64
65,"Red Star, Red Sun","Code of Bushido",Russian,25,Japanese,27,https://vasl-templates.org/services/roar/65
66,"The Bushmasters","Code of Bushido",Japanese,52,American,23,https://vasl-templates.org/services/roar/66
67,"Cibik's Ridge","Gung Ho!",Japanese,79,American,106,https://vasl-templates.org/services/roar/67
68,"The Rock","Gung Ho!",Japanese,37,American,38,https://vasl-templates.org/services/roar/68
69,"Today We Attack","Gung Ho!",Japanese,31,Chinese,26,https://vasl-templates.org/services/roar/69
70,"KP 167","Gung Ho!",Filipino,37,Japanese,24,https://vasl-templates.org/services/roar/70
71,"Jungle Citadel","Gung Ho!",Chinese,31,Japanese,30,https://vasl-templates.org/services/roar/71
72,"Sea of Tranquility","Gung Ho!",American,16,Japanese,17,https://vasl-templates.org/services/roar/72
73,"Hell or High Water","Gung Ho!",American,27,Japanese,17,https://vasl-templates.org/services/roar/73
74,"Bloody Red Beach","Gung Ho!",American,22,Japanese,22,https://vasl-templates.org/services/roar/74
145,"Shanghai in Flames","Rising Sun",Japanese,13,Chinese,21,https://vasl-templates.org/services/roar/4730
146,"The Drive for Taierzhuang","Rising Sun",Japanese,2,Chinese,4,https://vasl-templates.org/services/roar/4710
147,"A Stiff Fight","Rising Sun",Gurkha,20,Japanese,11,https://vasl-templates.org/services/roar/4711
148,"Ramsey's Charge","Rising Sun",American,1,Japanese,4,https://vasl-templates.org/services/roar/4712
149,"Grabbing Gavutu","Rising Sun",American,2,Japanese,1,https://vasl-templates.org/services/roar/4713
150,"Tanambogo Nightmare","Rising Sun",Japanese,1,American,0,https://vasl-templates.org/services/roar/4714
151,"Take Two","Rising Sun",Japanese,1,American,1,https://vasl-templates.org/services/roar/4715
152,"Munda Mash","Rising Sun",American,4,Japanese,2,https://vasl-templates.org/services/roar/4716
153,Totsugeki!,"Rising Sun",Chinese,18,Japanese,20,https://vasl-templates.org/services/roar/4717
154,"Orange at Walawbum","Rising Sun",Japanese,4,American,3,https://vasl-templates.org/services/roar/4718
155,"Smith & Weston","Rising Sun",American,8,Japanese,3,https://vasl-templates.org/services/roar/4719
156,"Broken Bamboo","Rising Sun",Gurkha,8,Japanese,8,https://vasl-templates.org/services/roar/4720
157,"OP Hill","Rising Sun",British,2,Japanese,1,https://vasl-templates.org/services/roar/4721
158,"Last of Their Strength","Rising Sun",American,5,Japanese,3,https://vasl-templates.org/services/roar/4722
159,"White Tigers","Rising Sun",Japanese,4,Gurkha,6,https://vasl-templates.org/services/roar/4723
160,"Battlin' Buckeyes","Rising Sun",Japanese,9,American,5,https://vasl-templates.org/services/roar/4724
"{RS} 59",Smertniki,"Rising Sun",Russian,3,Japanese,4,https://vasl-templates.org/services/roar/4695
"{RS} 60","On the Kokoda Trail","Rising Sun",Japanese,3,Allied,3,https://vasl-templates.org/services/roar/4696
"{RS} 61","Shoestring Ridge","Rising Sun",Japanese,1,American,0,https://vasl-templates.org/services/roar/4697
"{RS} 62","Bungle in the Jungle","Rising Sun",Japanese,2,British,3,https://vasl-templates.org/services/roar/4698
"{RS} 63","The Eastern Gate","Rising Sun",British,0,Japanese,4,https://vasl-templates.org/services/roar/4699
"{RS} 64","Hazardous Occupation","Rising Sun",Japanese,2,Partisan,1,https://vasl-templates.org/services/roar/4700
"{RS} 65","Red Star, Red Sun","Rising Sun",Russian,0,Japanese,5,https://vasl-templates.org/services/roar/4701
"{RS} 66","The Bushmasters","Rising Sun",Japanese,3,American,3,https://vasl-templates.org/services/roar/4702
"{RS} 67","Cibik's Ridge","Rising Sun",Japanese,13,American,7,https://vasl-templates.org/services/roar/4703
"{RS} 68","The Rock","Rising Sun",American,0,Japanese,0,https://vasl-templates.org/services/roar/4704
"{RS} 69","Today We Attack","Rising Sun",Chinese,1,Japanese,0,https://vasl-templates.org/services/roar/4705
"{RS} 70","KP 167","Rising Sun",American,1,Japanese,1,https://vasl-templates.org/services/roar/4706
"{RS} 71","Jungle Citadel","Rising Sun",Japanese,0,Chinese,1,https://vasl-templates.org/services/roar/4707
"{RS} 72","Sea of Tranquility","Rising Sun",Japanese,2,American,2,https://vasl-templates.org/services/roar/4708
"{RS} 73","Hell or High Water","Rising Sun",Japanese,0,American,3,https://vasl-templates.org/services/roar/4709
"{RS} 74","Bloody Red Beach","Rising Sun",Japanese,2,American,0,https://vasl-templates.org/services/roar/4731
"{RS} GTCG-1","Sand & Blood","Rising Sun",American,4,Japanese,5,https://vasl-templates.org/services/roar/4725
75,"Strangers in a Strange Land","Croix de Guerre",French,134,German,119,https://vasl-templates.org/services/roar/75
76,"End of the Ninth","Croix de Guerre",French,62,German,34,https://vasl-templates.org/services/roar/76
77,"Le hérisson (The Hedgehog)","Croix de Guerre",French,173,German,165,https://vasl-templates.org/services/roar/77
78,"Encounter at Cornimont","Croix de Guerre",French,26,German,40,https://vasl-templates.org/services/roar/78
79,"Bridge of the Seven Planets","Croix de Guerre",German,50,French,47,https://vasl-templates.org/services/roar/79
80,"Play Ball","Croix de Guerre",Vichy,31,American,32,https://vasl-templates.org/services/roar/80
81,"Fratricidal Fighting","Croix de Guerre",Vichy,18,British/French,19,https://vasl-templates.org/services/roar/81
82,"For Honor Alone","Croix de Guerre",French,73,German,42,https://vasl-templates.org/services/roar/82
DN-CG1,"Fateful Miscalculations","Croix de Guerre {2020 edition}",German,0,French,0,https://vasl-templates.org/services/roar/6431
"{2020 edition} 75","Strangers in a Strange Land","Croix de Guerre {2020 edition}",German,1,French,3,https://vasl-templates.org/services/roar/6386
"{2020 edition} 76","End of the Ninth","Croix de Guerre {2020 edition}",German,1,French,1,https://vasl-templates.org/services/roar/6388
"{2020 edition} 77","Le Hérisson","Croix de Guerre {2020 edition}",German,2,French,4,https://vasl-templates.org/services/roar/6389
"{2020 edition} 78","Encounter at Cornimont","Croix de Guerre {2020 edition}",German,0,French,0,https://vasl-templates.org/services/roar/6390
"{2020 edition} 79","Bridge of the Seven Planets","Croix de Guerre {2020 edition}",German,2,French,0,https://vasl-templates.org/services/roar/6392
"{2020 edition} 80","Play Ball","Croix de Guerre {2020 edition}",American,0,Vichy,0,https://vasl-templates.org/services/roar/6397
"{2020 edition} 81","Fratricidal Fighting","Croix de Guerre {2020 edition}",Vichy,0,British/French,0,https://vasl-templates.org/services/roar/6398
"{2020 edition} 82","For Honor Alone","Croix de Guerre {2020 edition}",French,0,German,1,https://vasl-templates.org/services/roar/6399
"{2020 edition} 231","In Front of the Storm","Croix de Guerre {2020 edition}",German,5,French,4,https://vasl-templates.org/services/roar/6400
"{2020 edition} 232","Chance d'une Affaire","Croix de Guerre {2020 edition}",German,1,French,2,https://vasl-templates.org/services/roar/6401
"{2020 edition} 233","Failure to  Communicate","Croix de Guerre {2020 edition}",German,2,French,2,https://vasl-templates.org/services/roar/6394
"{2020 edition} 234","Counterstroke at Stonne","Croix de Guerre {2020 edition}",German,1,French,0,https://vasl-templates.org/services/roar/6395
"{2020 edition} 235","Last Defense Line","Croix de Guerre {2020 edition}",German,1,French,0,https://vasl-templates.org/services/roar/6402
"{2020 edition} 237","In Rommel's Wake","Croix de Guerre {2020 edition}",German,0,French,0,https://vasl-templates.org/services/roar/6403
"{2020 edition} 237","Sudden Death","Croix de Guerre {2020 edition}",German,1,French,0,https://vasl-templates.org/services/roar/6404
"{2020 edition} 238",Audacity!,"Croix de Guerre {2020 edition}",German,2,French,0,https://vasl-templates.org/services/roar/6406
"{2020 edition} 239","Fighting at the World's Edge","Croix de Guerre {2020 edition}",French/Norwegian,0,German,0,https://vasl-templates.org/services/roar/6407
"{2020 edition} 240","The Last Roadblock","Croix de Guerre {2020 edition}",German,2,French/Norwegian,2,https://vasl-templates.org/services/roar/6408
"{2020 edition} 241","Triumph Atop Taraldsvikfjell","Croix de Guerre {2020 edition}",German,3,French,1,https://vasl-templates.org/services/roar/6409
"{2020 edition} 242","Swan Song","Croix de Guerre {2020 edition}",German,2,French,0,https://vasl-templates.org/services/roar/6410
"{2020 edition} 243","The French Perimeter","Croix de Guerre {2020 edition}",French,0,German,1,https://vasl-templates.org/services/roar/6387
"{2020 edition} 244","Chateau de Quesnoy","Croix de Guerre {2020 edition}",German,0,French,0,https://vasl-templates.org/services/roar/6391
"{2020 edition} 245","The Time of Humiliations","Croix de Guerre {2020 edition}",Japanese,1,Vichy,0,https://vasl-templates.org/services/roar/6411
"{2020 edition} 246","The Army at the Edge of the World","Croix de Guerre {2020 edition}",Vichy,0,Japanese,1,https://vasl-templates.org/services/roar/6412
"{2020 edition} 247","Just an Illusion","Croix de Guerre {2020 edition}","Thai (Chinese)",0,Vichy,0,https://vasl-templates.org/services/roar/6413
"{2020 edition} 248","Siam Sambal","Croix de Guerre {2020 edition}","Thai (Chinese)",1,French,1,https://vasl-templates.org/services/roar/6414
"{2020 edition} 249","Showdown in Syria","Croix de Guerre {2020 edition}","Indian (British)",2,Vichy,0,https://vasl-templates.org/services/roar/6415
"{2020 edition} 250","The French Decide to Fight","Croix de Guerre {2020 edition}",Vichy,0,American,1,https://vasl-templates.org/services/roar/6416
"{2020 edition} 251","First Day of Diadem","Croix de Guerre {2020 edition}",German,2,"Free French",0,https://vasl-templates.org/services/roar/6417
"{2020 edition} 252","Ultimate Treachery","Croix de Guerre {2020 edition}",Vichy,1,Japanese,2,https://vasl-templates.org/services/roar/6418
"{2020 edition} DN1","Prelude: Chabrehez","Croix de Guerre {2020 edition}",German,3,Belgian,3,https://vasl-templates.org/services/roar/6419
"{2020 edition} DN2","Chasseurs at Yvoir","Croix de Guerre {2020 edition}",Belgian/French,0,German,1,https://vasl-templates.org/services/roar/6420
"{2020 edition} DN3","Rommel at the Meuse","Croix de Guerre {2020 edition}",French,0,German,0,https://vasl-templates.org/services/roar/6421
"{2020 edition} DN4","Chateau de Meez","Croix de Guerre {2020 edition}",French,0,German,1,https://vasl-templates.org/services/roar/6422
"{2020 edition} DN5","Grande Ferme de Meez","Croix de Guerre {2020 edition}",French,0,German,0,https://vasl-templates.org/services/roar/6423
"{2020 edition} DN6","Clearing the Heights","Croix de Guerre {2020 edition}",French,1,German,0,https://vasl-templates.org/services/roar/6424
"{2020 edition} DN7","Saint-Médard After Dark","Croix de Guerre {2020 edition}",French,0,German,0,https://vasl-templates.org/services/roar/6425
"{2020 edition} DN8","Probing the Bridgehead","Croix de Guerre {2020 edition}",French,0,German,0,https://vasl-templates.org/services/roar/6426
"{2020 edition} DN9","The Road to Onhaye","Croix de Guerre {2020 edition}",French,1,German,0,https://vasl-templates.org/services/roar/6427
"{2020 edition} DN10","Finale: Onhaye","Croix de Guerre {2020 edition}",French,4,German,0,https://vasl-templates.org/services/roar/6428
"{2020 edition} DN11","The Almost Men","Croix de Guerre {2020 edition}",American/British,0,German,0,https://vasl-templates.org/services/roar/6429
83,"An Uncommon Occurrence","Doomed Battalions",German,38,Polish,55,https://vasl-templates.org/services/roar/1255
84,"Round One","Doomed Battalions",Polish,64,German,56,https://vasl-templates.org/services/roar/1254
85,"No Way Out","Doomed Battalions",Polish,30,German,9,https://vasl-templates.org/services/roar/1253
86,"Fighting Back","Doomed Battalions",German,25,Polish,29,https://vasl-templates.org/services/roar/1252
87,"Good Night, Sweet Prince","Doomed Battalions",Danish,59,German,24,https://vasl-templates.org/services/roar/1251
88,"Art Nouveau","Doomed Battalions",German,30,Belgian,47,https://vasl-templates.org/services/roar/1250
89,"Rescue Attempt","Doomed Battalions",Belgian,22,German,20,https://vasl-templates.org/services/roar/1249
90,"Pride and Joy","Doomed Battalions",Italian,21,Greek,16,https://vasl-templates.org/services/roar/1248
137,"Italian Brothers","Doomed Battalions (3rd edition)",Rep(Al.Mn),21,Nat(Ital),14,https://vasl-templates.org/services/roar/3784
138,"Rattle of Sabres","Doomed Battalions (3rd edition)",German,4,Polish,6,https://vasl-templates.org/services/roar/3785
139,"The Weigh In","Doomed Battalions (3rd edition)",German,3,Polish,9,https://vasl-templates.org/services/roar/3786
140,"Round Two","Doomed Battalions (3rd edition)",Polish,6,German,2,https://vasl-templates.org/services/roar/3787
141,"Action at Balberkamp","Doomed Battalions (3rd edition)",German,7,Norwegian,4,https://vasl-templates.org/services/roar/3788
142,"On the Road to Andalsnes","Doomed Battalions (3rd edition)",German,5,Norwegian,6,https://vasl-templates.org/services/roar/3789
143,"Grebbe End","Doomed Battalions (3rd edition)",Dutch,20,German,22,https://vasl-templates.org/services/roar/3790
144,"The Professionals","Doomed Battalions (3rd edition)",German,9,Yugoslav,3,https://vasl-templates.org/services/roar/3791
"Third Edition43","Into the Fray","Doomed Battalions (3rd edition)",German,6,Polish,4,https://vasl-templates.org/services/roar/3840
"Third Edition44","The Gauntlet","Doomed Battalions (3rd edition)",German,2,Norwegian,7,https://vasl-templates.org/services/roar/3841
"Third Edition45","Revenge at Kastelli","Doomed Battalions (3rd edition)",Greek,7,German,4,https://vasl-templates.org/services/roar/3842
"Third Edition46","Birds of Prey","Doomed Battalions (3rd edition)",Belgian,1,German,11,https://vasl-templates.org/services/roar/3843
"Third Edition47","Rude Awakening","Doomed Battalions (3rd edition)",German,0,Yugoslav,7,https://vasl-templates.org/services/roar/3845
"Third Edition48","Toujours l'audace (Always Audacity)","Doomed Battalions (3rd edition)",Belgian,7,German,12,https://vasl-templates.org/services/roar/3852
"Third Edition49","Piercing the Peel","Doomed Battalions (3rd edition)",German,10,Dutch,5,https://vasl-templates.org/services/roar/3850
"Third Edition50","Age-Old Foes","Doomed Battalions (3rd edition)",Polish,1,Russian,5,https://vasl-templates.org/services/roar/3853
"Third Edition83","An Uncommon Occurrence","Doomed Battalions (3rd edition)",Polish,12,German,8,https://vasl-templates.org/services/roar/3854
"Third Edition84","Round One","Doomed Battalions (3rd edition)",German,13,Polish,10,https://vasl-templates.org/services/roar/3855
"Third Edition85","No Way Out","Doomed Battalions (3rd edition)",Polish,7,German,6,https://vasl-templates.org/services/roar/3856
"Third Edition86","Fighting Back","Doomed Battalions (3rd edition)",Polish,1,German,7,https://vasl-templates.org/services/roar/3857
"Third Edition87","Good Night, Sweet Prince","Doomed Battalions (3rd edition)",German,10,Danish,8,https://vasl-templates.org/services/roar/3858
"Third Edition88","Art Nouveau","Doomed Battalions (3rd edition)",Belgian,7,German,4,https://vasl-templates.org/services/roar/3859
"Third Edition89","Rescue Attempt","Doomed Battalions (3rd edition)",German,0,Belgian,6,https://vasl-templates.org/services/roar/3860
"Third Edition90","Pride and Joy","Doomed Battalions (3rd edition)",Greek,3,Italian,2,https://vasl-templates.org/services/roar/3861
111,"Balkan Sideshow","Armies of Oblivion",Hungarian,12,Yugoslav,21,https://vasl-templates.org/services/roar/2671
112,"Out of Cowardice","Armies of Oblivion",Yugoslav,58,Hungarian,11,https://vasl-templates.org/services/roar/2672
113,"Liberating Bessarabia","Armies of Oblivion",Russian,57,Romanian,70,https://vasl-templates.org/services/roar/2673
114,"Cautious Crusaders","Armies of Oblivion",Slovak,9,Russian,16,https://vasl-templates.org/services/roar/2674
115,"Huns of Steel","Armies of Oblivion",Russian,27,Hungarian,22,https://vasl-templates.org/services/roar/2675
116,"The Sixth Blow","Armies of Oblivion",German/Hungarian,19,Partisan/Russian,10,https://vasl-templates.org/services/roar/2676
117,"With Tigers on their Tail","Armies of Oblivion",Russian,16,Hungarian,8,https://vasl-templates.org/services/roar/2677
118,"Downsizing the Uprising","Armies of Oblivion",German,10,Partisan/Slovak,12,https://vasl-templates.org/services/roar/2679
119,"Ancient Feud","Armies of Oblivion",Hungarian,38,Romanian,19,https://vasl-templates.org/services/roar/2678
120,"Return to Sender","Armies of Oblivion",German,10,Bulgarian,4,https://vasl-templates.org/services/roar/2680
121,"End Station Budapest","Armies of Oblivion",Hungarian,8,Romanian,15,https://vasl-templates.org/services/roar/2681
"{AoO2} 27","The Liberation of Tulle","Armies of Oblivion II",German,0,Partisan,1,https://vasl-templates.org/services/roar/5814
